# ⚠️ 추정 스키마 — 실제 업비트 샘플 확보 시 검증 필요
마켓,구분,체결시간,체결가,수량,수수료
KRW-BTC,매수,2026-01-01 09:00:00,100,1,0.05
KRW-BTC,매도,2026-01-03 09:00:00,110,1,0.055
KRW-ETH,매수,2026-01-02 09:00:00,100,1,0.05
KRW-ETH,매도,2026-01-04 09:00:00,108,1,0.054
KRW-SOL,매수,2026-01-03 09:00:00,100,1,0.05
KRW-SOL,매도,2026-01-05 09:00:00,112,1,0.056
KRW-XRP,매수,2026-01-04 09:00:00,100,1,0.05
KRW-XRP,매도,2026-01-06 09:00:00,107,1,0.0535
KRW-ADA,매수,2026-01-05 09:00:00,100,1,0.05
KRW-ADA,매도,2026-01-07 09:00:00,106,1,0.053
KRW-BTC,매수,2026-01-08 09:00:00,100,0.5,0.025
KRW-BTC,매수,2026-01-09 09:00:00,112,1,0.056
KRW-BTC,매도,2026-01-09 15:00:00,116,1.5,0.087
KRW-ETH,매수,2026-01-10 09:00:00,100,0.5,0.025
KRW-ETH,매수,2026-01-11 09:00:00,112,1,0.056
KRW-ETH,매도,2026-01-11 15:00:00,115,1.5,0.08625
KRW-LINK,매수,2026-01-12 09:00:00,100,1,0.05
KRW-LINK,매도,2026-01-16 09:00:00,91,1,0.0455
KRW-DOT,매수,2026-01-13 09:00:00,100,1,0.05
KRW-DOT,매도,2026-01-17 09:00:00,92,1,0.046
KRW-AVAX,매수,2026-01-14 09:00:00,100,1,0.05
KRW-AVAX,매도,2026-01-18 09:00:00,93,1,0.0465
KRW-NEAR,매수,2026-01-15 09:00:00,100,1,0.05
KRW-NEAR,매도,2026-01-19 09:00:00,92,1,0.046
KRW-ATOM,매수,2026-01-16 09:00:00,100,1,0.05
KRW-ATOM,매도,2026-01-20 09:00:00,91,1,0.0455
